Microservices,CPU,mem,response,throughtput,timestamp
bookshop-ui,36.8,291,5.561,9.467,07/07/2020 17:19
bookshop-books,34.6,4297,6.485,22,07/07/2020 17:19
bookshop-purchases,36,585,8.686,9.367,07/07/2020 17:19
bookshop-ui,36.2,291,13.55,9.267,07/07/2020 17:19
bookshop-books,36.2,4298,2.877,16.71,07/07/2020 17:20
bookshop-purchases,33.5,585,13.75,7.367,07/07/2020 17:20
bookshop-ui,33.6,291,16.44,7.133,07/07/2020 17:20
bookshop-books,35.8,4298,0.359,13.129,07/07/2020 17:20
bookshop-purchases,35.9,586,23.26,5.433,07/07/2020 17:20
bookshop-ui,35.6,291,5.348,5.267,07/07/2020 17:20
bookshop-books,34.9,4298,4.152,9.71,07/07/2020 17:21
bookshop-purchases,35.6,586,18.21,4.333,07/07/2020 17:21
bookshop-ui,35.6,291,5.73,4.1,07/07/2020 17:21
bookshop-books,34.1,4298,5716,7.677,07/07/2020 17:21
bookshop-purchases,35.2,586,24.09,3.467,07/07/2020 17:21
bookshop-ui,35.2,291,3.154,3.133,07/07/2020 17:21
bookshop-books,35.2,4298,3812,6,07/07/2020 17:22
bookshop-purchases,35.5,586,17.47,1.967,07/07/2020 17:22
bookshop-ui,35.5,291,6.424,2,07/07/2020 17:22
bookshop-books,35.5,4298,10.4,4.767,07/07/2020 17:22
bookshop-purchases,35.1,586,28.6,2.3,07/07/2020 17:22
bookshop-ui,35.1,291,61.47,2,07/07/2020 17:22
bookshop-books,35.1,4299,2.76,3.633,07/07/2020 17:23
bookshop-purchases,35.4,586,32.01,1.7,07/07/2020 17:23
bookshop-ui,35.4,291,15.49,1.467,07/07/2020 17:23
bookshop-books,35.4,4299,5748,2.867,07/07/2020 17:23
bookshop-purchases,33.8,586,14.61,1.267,07/07/2020 17:23
bookshop-ui,34.9,291,32.69,1.167,07/07/2020 17:23
bookshop-books,35,4299,3812,2.3,07/07/2020 17:24
bookshop-purchases,33.6,586,12.59,1.367,07/07/2020 17:24
bookshop-ui,33.2,291,861.1,0.833,07/07/2020 17:24
bookshop-books,34.9,4299,3838,1.9,07/07/2020 17:24
bookshop-purchases,34.8,586,32.47,1.067,07/07/2020 17:24
bookshop-ui,34.1,291,2667,0.6,07/07/2020 17:24
bookshop-books,34.8,4299,3850,1.333,07/07/2020 17:25
bookshop-purchases,34.8,586,15.33,0.733,07/07/2020 17:25
bookshop-ui,34.8,291,1911,0.533,07/07/2020 17:25
bookshop-books,33.5,4299,3848,1.133,07/07/2020 17:25
bookshop-purchases,34.8,586,25.74,0.533,07/07/2020 17:25
bookshop-ui,34.8,291,7523,0.433,07/07/2020 17:25
bookshop-books,33.7,4299,11510,0.833,07/07/2020 17:26
bookshop-purchases,34.7,586,17,0.333,07/07/2020 17:26
bookshop-ui,34.7,291,7631,0.3,07/07/2020 17:26
bookshop-books,34.7,4299,3947,0.567,07/07/2020 17:26
bookshop-purchases,35.1,586,11.58,0.4,07/07/2020 17:26
bookshop-ui,35.1,291,7573,0.233,07/07/2020 17:26
bookshop-books,35.1,4299,11460,0.4,07/07/2020 17:27
bookshop-purchases,34.8,586,10.93,0.133,07/07/2020 17:27
bookshop-ui,34.8,292,17310,0.2,07/07/2020 17:27
bookshop-books,34.8,4300,11220,0.3,07/07/2020 17:28
bookshop-purchases,34.7,586,7.461,0.233,07/07/2020 17:28
bookshop-ui,34.7,292,820,0.033,07/07/2020 17:28
bookshop-books,34.7,4300,16970,0.233,07/07/2020 17:29
bookshop-purchases,33.6,586,6,0.167,07/07/2020 17:29
bookshop-ui,36.6,297,5.851,9.367,07/07/2020 17:48
bookshop-books,36.6,4294,935.8,21.394,07/07/2020 17:48
bookshop-purchases,36.5,578,17.03,11.933,07/07/2020 17:48
bookshop-ui,36,297,19.43,8.7,07/07/2020 17:48
bookshop-books,36,4294,3750,16.387,07/07/2020 17:48
bookshop-purchases,36,578,11.8,8.7,07/07/2020 17:48
bookshop-ui,33.2,297,4.319,7.2,07/07/2020 17:49
bookshop-books,34.2,4295,9.514,13.323,07/07/2020 17:49
bookshop-purchases,35.1,578,4.901,5.5,07/07/2020 17:49
bookshop-ui,35.7,297,2.642,5.2,07/07/2020 17:49
bookshop-books,34.7,4295,2.011,9.935,07/07/2020 17:49
bookshop-purchases,33.7,578,12.99,6,07/07/2020 17:49
bookshop-ui,35.5,297,7.867,4.167,07/07/2020 17:50
bookshop-books,35.5,4295,2.587,7.839,07/07/2020 17:50
bookshop-purchases,35.6,578,6.895,4.367,07/07/2020 17:50
bookshop-ui,35.1,297,10.95,2.267,07/07/2020 17:50
bookshop-books,35.1,4296,5700,6.3,07/07/2020 17:50
bookshop-purchases,35.1,578,19.31,3.767,07/07/2020 17:50
bookshop-ui,34.3,297,13.8,2.5,07/07/2020 17:51
bookshop-books,34.3,4296,2.197,4.469,07/07/2020 17:51
bookshop-purchases,34.3,578,6.147,2.667,07/07/2020 17:51
bookshop-ui,33.9,297,3.996,1.8,07/07/2020 17:51
bookshop-books,35,4296,2863,3.6,07/07/2020 17:51
bookshop-purchases,35,579,15.34,1.733,07/07/2020 17:51
bookshop-ui,33.6,297,954.3,1.4,07/07/2020 17:52
bookshop-books,33.3,4296,2884,2.833,07/07/2020 17:52
bookshop-purchases,34.3,579,29.67,1.667,07/07/2020 17:52
bookshop-ui,35.5,297,480.3,1.2,07/07/2020 17:52
bookshop-books,34.7,4297,5.164,2,07/07/2020 17:52
bookshop-purchases,33.8,579,27.85,1.333,07/07/2020 17:52
bookshop-ui,35.2,297,3790,0.933,07/07/2020 17:53
bookshop-books,35.2,4297,3839,1.633,07/07/2020 17:53
bookshop-purchases,35.2,579,26.64,1.033,07/07/2020 17:53
bookshop-ui,34.8,297,1857,0.6,07/07/2020 17:53
bookshop-books,34.8,4297,3.109,1.4,07/07/2020 17:53
bookshop-purchases,34.8,579,37.17,0.933,07/07/2020 17:53
bookshop-ui,35.5,278,10.13,36.767,07/07/2020 17:58
bookshop-books,35.8,4321,926.7,42,07/07/2020 17:58
bookshop-purchases,35.5,571,5.878,8.2,07/07/2020 17:58
bookshop-ui,34.4,278,4.166,9.7,07/07/2020 17:58
bookshop-books,33.4,4321,6.937,19.062,07/07/2020 17:58
bookshop-purchases,32.6,571,7.978,8.2,07/07/2020 17:59
bookshop-ui,32.4,278,8.281,5.8,07/07/2020 17:59
bookshop-books,32.2,4321,1.584,12.914,07/07/2020 17:59
bookshop-purchases,32.6,571,36.36,5.167,07/07/2020 17:59
