Microservices,CPU,mem,response,throughtput,timestamp
bookshop-ui,36.8,291,5.561,9.467,07/07/2020 17:19
bookshop-books,34.6,4297,6.485,22,07/07/2020 17:19
bookshop-purchases,36,585,8.686,9.367,07/07/2020 17:19
bookshop-books,35.8,4298,0.359,13.129,07/07/2020 17:20
bookshop-purchases,35.9,586,23.26,5.433,07/07/2020 17:20
bookshop-books,35,4299,3812,2.3,07/07/2020 17:24
bookshop-ui,36.6,297,5.851,9.367,07/07/2020 17:48
bookshop-purchases,36.5,578,17.03,11.933,07/07/2020 17:48
bookshop-books,34.2,4295,9.514,13.323,07/07/2020 17:49
bookshop-books,33.3,4296,2884,2.833,07/07/2020 17:52
bookshop-ui,34.4,278,4.166,9.7,07/07/2020 17:58
bookshop-books,33.4,4321,6.937,19.062,07/07/2020 17:58
bookshop-purchases,32.6,571,7.978,8.2,07/07/2020 17:59
bookshop-books,33,4322,3804,1.533,07/07/2020 18:03
bookshop-ui,36.7,282,8.413,82.8,07/07/2020 18:19
bookshop-books,36.3,4302,1.981,280.76,07/07/2020 20:13
bookshop-purchases,34,567,5.013,146.06,07/07/2020 20:17
bookshop-ui,50.1,294,7850,0.233,08/07/2020 15:29
bookshop-books,50.3,4303,3996,0.594,08/07/2020 15:29
bookshop-purchases,50.6,574,7.834,0.4,08/07/2020 15:29
bookshop-purchases,58.9,575,12.39,0.233,08/07/2020 15:30
bookshop-ui,88.9,274,2.052,94.3,08/07/2020 15:36
bookshop-purchases,83.6,320,8.286,86.633,08/07/2020 15:36
bookshop-books,83.4,1389,2.135,172.53,08/07/2020 15:36
bookshop-ui,83.2,295,3.435,86,08/07/2020 15:36
bookshop-purchases,83.5,337,9.636,97.7,08/07/2020 15:36
bookshop-ui,83.3,299,2.116,96.3,08/07/2020 15:37
bookshop-purchases,82.1,382,4.476,93.133,08/07/2020 15:37
bookshop-books,82.3,1949,2.942,186.16,08/07/2020 15:37
bookshop-ui,82.4,300,4.301,91.3,08/07/2020 15:37
bookshop-purchases,81.8,438,4.324,94.433,08/07/2020 15:37
bookshop-books,81.2,2335,2.551,188.9,08/07/2020 15:37
bookshop-purchases,81.9,572,6.126,57.067,08/07/2020 15:38
bookshop-purchases,79,573,9.175,79.033,08/07/2020 15:38
bookshop-books,83.8,3661,38.43,190.16,08/07/2020 15:39
bookshop-purchases,84.9,660,11.22,56.067,08/07/2020 15:40
bookshop-books,84.7,4100,2.778,110.86,08/07/2020 15:40
bookshop-ui,84.6,298,6.42,56.6,08/07/2020 15:40
bookshop-purchases,82.2,661,6.162,57.6,08/07/2020 15:40
bookshop-books,81.7,4300,4145,13.757,08/07/2020 15:42
bookshop-purchases,80,663,11.63,4.833,08/07/2020 15:43
bookshop-purchases,81.6,664,7.603,3.067,08/07/2020 15:43
bookshop-purchases,81.1,672,25.71,1.3,08/07/2020 15:45
bookshop-purchases,80.7,676,12.96,0.267,08/07/2020 15:49
bookshop-books,80.4,4304,7236,0.286,08/07/2020 15:51
bookshop-books,88,2915,12.49,151.66,08/07/2020 15:59
bookshop-purchases,88.1,485,7.488,78.5,08/07/2020 15:59
bookshop-books,78.6,3249,2.068,140.86,08/07/2020 16:01
bookshop-books,88.3,4306,7.838,125.55,08/07/2020 16:04
bookshop-purchases,88.8,647,6.904,55.3,08/07/2020 16:04
bookshop-ui,89,281,16.3,55.733,08/07/2020 16:04
bookshop-books,76.7,4307,7391,88.632,08/07/2020 16:04
bookshop-ui,82.9,283,6.949,2.167,08/07/2020 16:07
bookshop-ui,72.8,276,6.717,178.86,11/07/2020 18:02
bookshop-purchases,70.8,303,19.49,179.76,11/07/2020 18:02
bookshop-books,63.2,1809,1.656,307.6,11/07/2020 18:02
bookshop-ui,59,286,2.631,149.8,11/07/2020 18:03
bookshop-books,60.1,2985,4.19,266.73,11/07/2020 18:03
bookshop-purchases,55.3,569,8.62,145.36,11/07/2020 18:04
bookshop-books,59.6,4267,2.669,139.32,11/07/2020 18:04
bookshop-ui,45.8,292,3.97,11.667,11/07/2020 18:05
bookshop-books,32,4308,8.1,3.433,11/07/2020 18:07
bookshop-ui,72,275,3.071,173.5,11/07/2020 18:14
bookshop-purchases,64.3,378,3.62,162.9,11/07/2020 18:15
bookshop-ui,60.6,285,3.544,156.5,11/07/2020 18:15
bookshop-books,59.7,3032,2,152.43,11/07/2020 18:16
bookshop-purchases,48.2,507,6.098,8.767,11/07/2020 18:17
bookshop-books,47.7,3822,1.502,15,11/07/2020 18:17
bookshop-ui,5.3,288,2.984,18.433,11/07/2020 18:17
bookshop-books,17.8,3959,6406,142.25,11/07/2020 18:18
bookshop-purchases,46.8,582,8.622,12.133,11/07/2020 18:19
bookshop-ui,71.4,284,2.796,176.33,11/07/2020 18:55
bookshop-purchases,63.8,373,3.036,177.13,11/07/2020 18:56
bookshop-books,58.2,2293,1.959,310.06,11/07/2020 18:56
bookshop-purchases,60.5,489,8.743,157.63,11/07/2020 18:57
bookshop-books,56.1,3622,3.302,259.43,11/07/2020 18:57
bookshop-purchases,59.8,566,3.233,146.33,11/07/2020 18:58
bookshop-books,36.4,4314,1.875,108.36,11/07/2020 18:58
bookshop-books,46,4315,1865,15.71,11/07/2020 19:08
bookshop-purchases,59.3,753,22.34,1.9,11/07/2020 19:53
bookshop-books,83,1332,64.49,278.36,11/07/2020 20:06
bookshop-purchases,76.3,347,4.313,134.86,11/07/2020 20:06
bookshop-ui,73,273,4.545,131,11/07/2020 20:07
bookshop-books,72.9,2076,2.913,263.56,11/07/2020 20:07
bookshop-purchases,73.2,432,5.285,123.13,11/07/2020 20:07
bookshop-ui,65.6,280,3.831,86.333,11/07/2020 20:09
bookshop-books,65.8,3997,1.926,167.83,11/07/2020 20:09
bookshop-purchases,71.1,576,5.391,23.833,11/07/2020 20:09
bookshop-purchases,58.5,577,7.313,0.367,11/07/2020 20:19
bookshop-purchases,67.2,379,2.616,101.96,11/07/2020 20:32
bookshop-ui,67.8,289,3.756,120.06,11/07/2020 20:33
bookshop-books,64.7,3500,2.068,195.13,11/07/2020 20:34
bookshop-ui,70.9,290,7.147,62.9,11/07/2020 20:35
bookshop-books,60.3,4323,2.619,5.125,11/07/2020 20:38
bookshop-ui,57.6,293,1975,0.967,11/07/2020 20:41
bookshop-books,75.3,1736,3.517,280.63,11/07/2020 20:51
bookshop-purchases,75.1,341,9.02,141.36,11/07/2020 20:51
bookshop-books,75,3629,3.512,263.13,11/07/2020 20:53
